Year,Rk,Pk,Tm,name,college,Yrs,Totals_G,Totals_MP,Totals_PTS,Totals_TRB,Totals_AST,Shooting_FG,Shooting__3P,Shooting_FT,Per_Game_MP,Per_Game_PTS,Per_Game_TRB,Per_Game_AST,Advanced_WS,Advanced_WS48,Advanced_BPM,Advanced_VORP
1947,1,1,PIT,Clifton McNeeley,Texas-El Paso,,,,,,,,,,,,,,,,,
1947,2,2,TRH,Glen Selbo,Wisconsin,1,13,,42,,23,0.196,,0.759,,3.2,,1.8,-0.2,,,
1947,3,3,BOS,Bulbs Ehlers,Purdue,2,99,,800,,177,0.286,,0.618,,8.1,,1.8,3,,,
1947,4,4,PRO,Walt Dropo,UConn,,,,,,,,,,,,,,,,,
1947,5,5,NYK,Dick Holub,Long Island University,1,48,,504,,37,0.295,,0.633,,10.5,,0.8,4.2,,,
1947,6,6,PHW,Chink Crossin,Penn,3,147,,694,,223,0.318,,0.711,,4.7,,1.5,3.7,,,
1947,7,7,STB,Jack Underman,Ohio State,,,,,,,,,,,,,,,,,
1947,8,8,CHS,Paul Huston,Ohio State,1,46,,164,,27,0.237,,0.697,,3.6,,0.6,1.2,,,
1947,9,9,WSC,Dick O'Keefe,Santa Clara,4,172,,888,37,160,0.272,,0.64,,5.2,2.2,0.9,1.7,,,
1947,10,10,BLB,Larry Killick,University of Vermont,,,,,,,,,,,,,,,,,
1947,11,,BLB,Robert Bolyard,Toledo,,,,,,,,,,,,,,,,,
1947,12,,BLB,Elmer Gainer,DePaul,2,20,,29,,10,0.227,,0.643,,1.5,,0.5,-0.3,,,
1947,13,,BLB,Harry Gallatin,Truman State University,10,682,15813,8843,6684,1208,0.398,,0.773,31.9,13,11.9,1.8,78.4,0.182,,
1947,14,,BLB,Scotty Hamilton,West Virginia,,,,,,,,,,,,,,,,,
1947,15,,BLB,Hugh Hampton,High Point University,,,,,,,,,,,,,,,,,
1947,16,,BLB,Bob Jake,University of Vermont,,,,,,,,,,,,,,,,,
1947,17,,BLB,Charles Raynor,Houston,,,,,,,,,,,,,,,,,
